Feature	IFN_y_Bacillus.S.	IFN_y_Bacteroides.V.	IFN_y_Candida.A.	IFN_y_CD3_CD28	IFN_y_Clostridium.P.	IFN_y_PBS	IFN_y_Pseudomonas.A.	IFN_y_Staph.A.
1110038F14Rik	0.0401284053042805	0.0554588733513013	0.143651719658443	0.0561118765810006	0.157024974109116	0.0208871411929566	0.0615707877383765	0.0471826777210606
1500012F01Rik	0.0512134531731901	0.00758515209098096	0.0295308235217551	0.0232637495725942	0.00814017425935186	0.0172763038160115	0.0558774212895481	0.0184125972237119
1700021F05Rik	0.0124244605141106	0.01466863688175	0.00591079978867474	0.0263111458506785	0.00775745661637824	0.0051719877286034	0.0124268531928788	0.0304431747434495
1700052K11Rik	0.171037601695497	0.0761125423635914	0.0210395269663667	0.105154970005305	0.0518036360839236	0.0110435695361345	0.09578141161505	0.0273446858772223
1810044D09Rik	0.0400434628835504	0.0382883576855699	0.0482475958972484	0.086142614275323	0.0363274348749174	0.00502857137434112	0.0603244582900681	0.0351403179141218
2810008D09Rik	0.00196604539641552	0.00351760044658132	0.00113165084428499	0.000248004066629196	0.00262404838775455	0.000595630927615339	0.00741925284888423	0.00395124814194389
4632428C04Rik	0.0246112996493886	0.0925637102536046	0.0543670109469049	0.0115311291171134	0.0537062012960555	0.00862822432545858	0.0163739149568697	0.114638503987641
5730408K05Rik	0.00144561860618993	0.00259392906731562	0.000479348267974089	0.00201345617138985	0.00124622745288637	0.00058759304081456	0.0015088581430824	0.00456309757182184
9030612E09Rik	0.138606344175349	0.123145698028812	0.0128771282923989	0.033675318264299	0.0789292758817974	0.118093275927707	0.105309430412754	0.0628251315789928
9930021J03Rik	0.0486319211618195	0.0597418003223568	0.0476064580295274	0.0086177409722451	0.0168383025974564	0.0405476209635864	0.0532371403252423	0.0497861393068064
9930104L06Rik	0.0424478857923019	0.0409525356601839	0.00563979275178543	0.0177633856239696	0.0231450565071055	0.00656835013634439	0.108457049465667	0.0588530879761428
A230050P20Rik	0.0556854982243437	0.061854383806848	0.00525774969795928	0.104305964744403	0.0267769097593468	0.0395260834747152	0.0324184131952402	0.0980865405906432
A430105I19Rik	0.0865332319241375	0.41378127990792	0.162860997724585	0.389955621627751	0.148655829869589	0.0638933499298488	0.0648876564600642	0.104650603588677
Adck1	0.0307219041633599	0.149276689866655	0.0316407494116717	0.0485223515962391	0.0286353487122847	0.043697892323404	0.0396128238641968	0.0636752665681043
Adprhl2	0.48279866202418	0.3102320716468	0.871517242031657	0.229650144542776	0.919587218467026	0.101621244630422	0.825805550833932	0.583370920151637
Aes	0.287199251354856	0.501969465508867	0.219126598329037	0.134103215148094	0.218742395697239	0.110107452965718	0.857127541044408	0.171380547489418
Aida	0.0264915748559823	0.0229510008473729	0.0515288386238321	0.00727814641567864	0.0214447652074957	0.00658920642567156	0.0393178246037965	0.0381060447368237
