Feature	IL_5_Bacillus.S.	IL_5_Bacteroides.V.	IL_5_Candida.A.	IL_5_CD3_CD28	IL_5_Clostridium.P.	IL_5_PBS	IL_5_Pseudomonas.A.	IL_5_Staph.A.
0610039K10Rik	0.0516982728675	0.0476752985317751	0.0777244364871676	0.0502544336720436	0.0305370567668933	0.0293718265010338	0.0282248445615307	0.0138039585195444
1190007I07Rik	0.0181563981764278	0.0167109202797406	0.0231405225131954	0.00916706290834091	0.0447006676412596	0.028793473142017	0.0373713616607888	0.0620776642640169
1500012F01Rik	0.00427915681025696	0.0143279901417735	0.0021299343082101	0.018918861186185	0.000794784438580207	0.019455135371874	0.00348353802519447	0.0146534776244105
1600016N20Rik	0.0043585026797079	0.00832416525657799	0.00600116611210082	0.0294654797432253	0.00499642845158051	0.00108367992080078	0.00228183676088207	0.00205882112015122
2410006H16Rik	0.00808635606147324	0.0222007478111483	0.0226782548767093	0.0462989075499026	0.00769232423279767	0.0224238405038813	0.00760247617640222	0.00927586284460605
4930413G21Rik	0.025726998621499	0.0255917883894214	0.0322567174029076	0.023332260343313	0.0226094208909875	0.0119638708434109	0.0137276843393453	0.0175162995288721
4933438K21Rik	0.041945212590934	0.0439100486505842	0.0262345791180741	0.0228313534526475	0.0179221100976206	0.0122407101482363	0.0297907390527334	0.0208376074085331
5830417I10Rik	0.00269062888640777	0.00386343199584841	0.0212900012836985	0.059596969548492	0.0043676407217262	0.0196448482777288	0.00358672337175442	0.0176516609273584
9030612E09Rik	0.0747765103427545	0.0397938821972605	0.0328898424453986	0.0956098620118306	0.0448532115839622	0.107381306505284	0.0726047658779332	0.0306300362881085
9330020H09Rik	0.0108707940204972	0.0114112265485301	0.0250261557532578	0.017838929720457	0.00894019774280114	0.00208210354036424	0.00477370019505301	0.00770851324055547
9430008C03Rik	0.00298611065631	0.00613096237047041	0.00363109999581748	0.018384706896013	0.00624972033405442	0.00351581106360786	0.0100089902949033	0.000983769617041421
A430093F15Rik	0.0388014841344796	0.0457945908730004	0.030292206097629	0.0139323088778703	0.0425476996442769	0.00909425596478998	0.0104183459427828	0.0152490984409575
Ablim1	0.00452943280603464	0.00743160532105313	0.0035677339188262	0.00667070605825809	0.00407014399202085	0.00334664558088348	0.000907167994187914	0.00111090851704848
Adamts10	0.0108764638514418	0.00662158393149834	0.011787306344894	0.0169074754598116	0.0252053488974128	0.0556105568484671	0.0308375308637402	0.0405315956798768
Ahcyl1	0.00900092194287142	0.00864814420576678	0.00332117802050815	0.00802800047614943	0.00931015940383171	0.00477243136452561	0.022186609447829	0.00935787740256516
Akap5	0.0171707244829574	0.00619682356017581	0.00788451536177271	0.0273974781595745	0.0104239888175714	0.0512329021481041	0.0102966966100323	0.0118409724772458
Arrdc1	0.00174498510868518	0.000556298979571787	0.00156424135672404	0.00981401348453127	0.000623566231537463	0.000803672312020373	0.000856044032968065	0.00154874546997668
Atp5k	0.00344448101702658	0.0104588603609879	0.0115735878297805	0.0240602234648304	0.0128783106854149	0.00642308066282023	0.00263803215200169	0.0151832251132912
Atp6v1c1	0.0280292387612023	0.0346825555281563	0.0559210099574862	0.00627112483323781	0.011765250550673	0.0213928263283348	0.0415601435915387	0.0269821772002839
AW209491	0.0219841132602675	0.00947445942226979	0.0270789519084625	0.0114634357410395	0.0228344642314764	0.0479194393133141	0.0405295961403195	0.042959656752665
B3gnt7	0.00511405917384603	0.00743224637110511	0.00682772804139545	0.047626835175063	0.00415817676041303	0.00698763899929079	0.00623185567060749	0.00637655500079876
Bambi	0.00703455979158157	0.0142178421101581	0.0122569164704545	0.0427900300367687	0.0107536547097244	0.00239901465534698	0.00576470759201746	0.00306397657080572
Bbc3	0.00215988422701479	0.00262229152546498	0.00136809713913263	0.00619289703548697	0.000981976813256199	0.000247882919599282	0.00276514633020862	0.000552049234963902
Blood_Treg_cells	0.00304400734966225	0.00291397692764532	0.00494290153187952	0.0290979713577043	0.00294016375142731	0.0109917338279873	0.0119032291023112	0.00597050909389171
Bola2	0.00413941793741502	0.00445897483161238	0.00802885816631482	0.0203442152042085	0.00710401211567906	0.00204560605055242	0.00284499747726338	0.00457143229138752
Bzrap1	0.00932876884349158	0.0131893433743047	0.019188785620226	0.0509334837113958	0.0187452003917477	0.00338085743497132	0.0125595355397848	0.00561064807420289
C230024C17Rik	0.0299947749614806	0.0588322172832977	0.105876719700934	0.0795655038391859	0.0514818695578403	0.0164809498224296	0.0423130382155559	0.0529874500139519
C430049B03Rik	0.166715851571326	0.104254149112189	0.114855124998847	0.00718311774153082	0.137630913688067	0.0805758427998046	0.0669828289142814	0.132014179374732
Capn6	0.0778749724772932	0.0880752565456994	0.0468078143144646	0.0681980796896374	0.0646728000434716	0.0113201043887705	0.0636865278073201	0.0617391646053618
Ccl2	0.0575137007928881	0.0511653160317567	0.0421326901619389	0.0584254903525341	0.0627568199105657	0.00428035510249854	0.0228048931058102	0.055131191279168
Ccl4	0.00286938597549008	0.00709811314267428	0.0067264652626604	0.0173540194005816	0.00136754839460058	0.00488957024332414	0.00591972464651205	0.00257782948174264
Cd83	0.00722454870745438	0.0269120437611401	0.0227278114014865	0.0427500139057177	0.00565239953502049	0.0107717531815006	0.0155015165476241	0.0101739400470689
Cdk5	0.0153182052001885	0.00357859762513608	0.00478104171492043	0.00552153154451552	0.00877158442918764	0.0467237790993388	0.0186966440642477	0.023229320570871
Cdk5r1	0.0228177504074376	0.022647965921822	0.027025438369286	0.0343561191310222	0.0311621498792419	0.0280323019491585	0.0105975503390527	0.0280094991817208
Chchd7	0.00269254622484103	0.00211928338965646	0.0010372055303468	0.0139438536457412	0.00593365261340219	0.00367077288091883	0.00108653682882513	0.00209975364637664
Cisd3	0.00168225702314614	0.000735860521748782	0.00630620285182049	0.00313771025475614	0.00048405661109155	0.0142003905312716	0.00580478786894985	0.00660853480543347
Clcn4-2	0.0351462807294567	0.0293599266544371	0.0680372439993922	0.0290631149270185	0.0387252368869638	0.121924980625371	0.0444530906370116	0.0340060895952644
Cldn5	0.00798956377117693	0.0065109889797878	0.0101349298587616	0.0350062910489438	0.00646955672402359	0.0171652157083287	0.0036341735255342	0.0294014801141286
Clec10a	0.0183321726502168	0.0239663372011695	0.0103548174486727	0.108270482789083	0.00794803052010204	0.0272936790465146	0.0233295979101863	0.0331251488975237
Cnp	0.011077579978237	0.0258216478906156	0.0274357745383499	0.0352378489689927	0.0164008686829719	0.0137532683248308	0.0108798117726998	0.015031528177101
Coq10b	0.00369613617763551	0.0164435198687058	0.011136152144964	0.0106682113191968	0.00396694554686844	0.00629931495968041	0.00433807069751516	0.00159411852902093
Cpne8	0.000753145105586189	0.00126225842163066	0.000538452283519977	0.00425093786061341	0.000971653631288956	0.000814561046936228	0.00173562298744797	0.000916033166144342
Crip1	0.0210541241828249	0.0132394455933135	0.0117673952282798	0.105938867137538	0.034187669818114	0.00321642375686963	0.0335738919462645	0.0211678655299048
Csf2	0.0636305736337456	0.132703068096251	0.102413648681368	0.026749373469467	0.0861948818768671	0.0112167594524076	0.0897037099973273	0.014481343851676
Ctnnb1	0.0115561042558055	0.0152176105963496	0.00144896867876536	0.0173794464456759	0.00916992012686405	0.00175020061183227	0.0112534316797528	0.00414974142430078
D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae; D_5__uncultured Bacteroidales bacterium; D_6__uncultured Bacteroidales bacterium	0.02061478121347	0.0193137636110266	0.02375352211179	0.0260068646122331	0.0211387706712148	0.00483081789720383	0.0147844221867282	0.0139201311508436
D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Parasutterella; D_6__uncultured bacterium	0.00190553086979068	0.00127825327924399	0.000991966439498624	0.0122127011278941	0.00316333831634249	0.000475167887748543	0.00586253900183733	0.00522405489154697
Ddx3y	0.00726960271316019	0.0086989762652498	0.0163976069847658	0.0287346580758437	0.00414191681940401	0.0124879941636541	0.00206241729077856	0.00711764122793104
Dgkh	0.0134975168778957	0.0394126366619174	0.0347981252000519	0.0466024777999003	0.0293295629942343	0.0900281819020825	0.0892500666819665	0.0603594788643599
Dock8	0.00567906521696328	0.00490155922524047	0.00255092930660523	0.0104416945009818	0.00471944740621138	0.00116223920344712	0.00614682487299539	0.00332344289936678
Dusp6	0.00173935142112074	0.00168684070437416	0.0019499693132174	0.00504595858179124	0.000386556757421466	0.00172992615108048	0.00203962137618274	0.00150790005722799
Eef2	0.00268727903481219	0.00791848001961257	0.00771098228069765	0.0136621552982092	0.00596420335773814	0.0050861253462442	0.00501198524116093	0.000904673529561835
Eif2s3y	0.00796210226768704	0.0120139027304156	0.0151082197343846	0.0153793268689061	0.01088274208603	0.00690205256236181	0.00302414647049764	0.00544008445753883
