PC1	PC2	feat	edges	new_x	new_y	edge_adj	new_name	1	2
0.358210051285772	-0.0807310032663149	1.1.1.1.1.1.1.1	3	0.669090000300405	-0.226516954089071	3	1.1.1.1.1.1.1.1	636.149357258148	268.212718859808
-1.86258709803265	-0.312724296173359	1.1.1.1.1.1.1.2	24	-2.51720946957398	0.280116875486171	9	1.1.1.1.1.1.1.2	189.892459016393	421.969613382477
0.149782718815532	-0.227481294999205	1.1.1.1.1.1.2.1	2	-1.04243169589465	0.964510249329425	3		447.514001486088	435.924883392323
0.165247844428664	0.0184373328184552	1.1.1.1.1.1.2.2	1	-0.79684426063774	-0.613818135233425	3		474.581419518723	213.67566107533
0.154460697655857	-0.21964940692089	1.1.1.1.1.1.2.3	1	0.729223510238632	1.3091248505956	3		653	496
-0.184062827185761	-0.115211358273446	1.1.1.1.1.1.2.4	10	0.102592532250065	-0.596050777917772	6	1.1.1.1.1.1.2.4	578.975737704918	278.20439136474
0.165251578357706	0.0185938615078201	1.1.1.1.1.1.2.5	1	-1.26177248110559	-1.46115994404945	3		423.339357865986	94.3588827116221
0.201747028975171	-0.0645260106754541	1.1.1.1.1.2.1.1	1	-1.00092293333413	-1.37355411764989	3		452.088889558304	106.694925691127
0.343103414000867	-0.237104800795468	1.1.1.1.1.2.1.2	3	1.53527632036239	-0.88145585803807	3	1.1.1.1.1.2.1.2	731.616078488168	175.988778967778
-3.63257027555588	0.144173376711517	1.1.1.1.1.3	26	-5.17133254975411	-1.43613604574235	12	1.1.1.1.1.3	208.604590163934	165.645208237428
-2.9797385565659	-0.00337940728980046	1.1.1.1.2.1.1.1	22	-2.58020928434114	0.833011808155673	9	1.1.1.1.2.1.1.1	135.691803278689	506.301452304657
-3.36816255341851	0.120931299442672	1.1.1.1.2.1.1.2	21	-3.7670693456997	-0.89632498515559	9	1.1.1.1.2.1.1.2	249.900327868852	248.867417700106
0.175588823069714	-0.0876456987051454	1.1.1.1.2.1.1.3	2	1.62554538124882	1.31741982754933	3		741.565082613197	485.619154923349
-3.450302455382	0.150367588993437	1.1.1.1.2.1.2	23	-3.97739123114715	-0.814562611955874	9	1.1.1.1.2.1.2	82.136393442623	355.391845812334
-3.27603930120436	0.14974589560978	1.1.1.1.2.2	21	-3.9909860508245	1.34992173438758	9	1.1.1.1.2.2	64.0695081967213	638.347357985439
